call_id,original_audio_file,source,duration_seconds,total_words,agent_words,customer_words,other_words,agent_talk_time_seconds,customer_talk_time_seconds,other_talk_time_seconds,talk_ratio_agent,num_speakers,has_other_speaker,roles_detected,num_utterances,mean_confidence,is_rpc,ptp_logrado,num_objeciones,num_objeciones_resueltas,alternativas_ofrecidas,tono_predominante_agente,peticiones_aclaracion_cliente,justificacion_breve,claridad_mensaje,tasa_resolucion_objeciones,duracion_total_segundos,talk_ratio_agente
humano_01,0445c357-e465-49ae-8067-bfa91d11b532.wav,humano,309.52,703,612,91,0,207.39,34.08,0.0,0.67,2,False,"Agente, Cliente",70,0.9383,True,True,1,1,3,empatico_profesional,2,"Se confirmó que la interlocutora es la deudora, el cliente aceptó un plan de pago (6 cuotas, ajustado a 5) con fecha de inicio el 5 de agosto, se registró una objeción por falta de dinero que fue resuelta mediante alternativas de abono y reestructuración, se ofrecieron tres alternativas de negociación, el agente mantuvo un tono empático‑profesional y el cliente solicitó aclaraciones en dos ocasiones.",0.3333,1.0,309.52,0.67
humano_02,09115a4a-ac50-4425-9dbc-b551a0b5342c.wav,humano,87.2,231,188,43,0,54.64,13.12,0.0,0.6266,2,False,"Agente, Cliente",23,0.9526,True,True,0,0,0,empatico_profesional,0,"Se confirmó que la persona que habla es la señora Luz, cliente aceptó pagar el 31 de agosto, no hubo objeciones ni peticiones de aclaración, el agente solo confirmó el acuerdo y ofreció envío por WhatsApp con tono empático y profesional.",1.0,,87.2,0.6266
humano_03,0bc9a430-bdcd-44a7-a92d-e71dc33c8ad5.wav,humano,105.64,176,88,88,0,30.56,24.13,0.0,0.2893,2,False,"Agente, Cliente",21,0.9068,False,False,0,0,0,neutro_formal,2,"El agente no logró contactar al titular (Luis Chávez) y no se alcanzó ningún acuerdo de pago; no hubo objeciones de tipo financiero, ni ofertas de solución, y el tono fue formal y protocolario. El cliente solicitó aclaraciones sobre la audibilidad del agente en dos ocasiones.",0.3333,,105.64,0.2893
humano_04,0c6ada7d-d8c5-4840-ae79-0d8d573183dc.wav,humano,141.48,58,0,0,58,0.0,0.0,24.14,0.0,1,True,Otro,7,0.9982,False,False,0,0,0,rigido_robotico,0,"La llamada corresponde a un mensaje de voz automatizado sin interacción con el deudor, por lo que no se confirma contacto, no hay promesas de pago, objeciones ni ofertas.",1.0,,141.48,0.0
humano_05,0d2d37dd-38a4-40dd-ac62-b430f722ed57.wav,humano,594.72,1252,879,373,0,277.12,117.34,0.0,0.466,2,False,"Agente, Cliente",119,0.948,True,True,7,5,3,empatico_profesional,0,"Se confirmó que la interlocutora es la deudora, el agente logró un compromiso de pago (fecha 18‑agosto o 15‑septiembre) tras manejar varias objeciones técnicas y de información, ofreciendo reenvío de documentos, cambio de fecha y opción de pago total; el tono fue empático y profesional y no hubo solicitudes de aclaración por parte del cliente.",1.0,0.7143,594.72,0.466
humano_06,1c72dd55-acbb-4ebe-a4d7-446cc294a4a1.wav,humano,224.62,402,251,151,0,92.94,59.13,0.0,0.4137,2,False,"Agente, Cliente",55,0.9338,True,True,3,3,3,empatico_profesional,0,"El cliente confirmó ser el deudor, aceptó pagar 100000 pesos mensuales a partir del 15 de julio, tras que el agente ofreciera varias alternativas (descuento, cuotas, abono parcial) y resolviera sus objeciones de capacidad de pago.",1.0,1.0,224.62,0.4137
humano_07,1e3beb83-824b-4ad5-8483-f4ff6ea3c05e.wav,humano,160.76,308,217,84,7,66.62,25.15,3.04,0.4144,3,True,"Agente, Cliente, Otro",43,0.9172,True,True,1,1,1,empatico_profesional,0,"El agente confirmó que hablaba con el titular (Alejandro), obtuvo una promesa de pago para el 30 de agosto, manejó una única objeción de falta de dinero/empleo y la resolvió ofreciendo un descuento, ofreciendo una alternativa de pago; su tono fue empático y profesional y el cliente no solicitó aclaraciones.",1.0,1.0,160.76,0.4144
humano_08,1f5cda00-bbf3-4770-97dc-99760ddadc1b.wav,humano,143.74,326,309,10,7,87.86,3.84,3.28,0.6113,3,True,"Agente, Cliente, Otro",28,0.8994,True,True,0,0,2,neutro_formal,1,"El agente confirmó que hablaba con el titular, el cliente aceptó pagar la totalidad la semana siguiente, no hubo objeciones, se ofrecieron dos opciones de pago (total o cuotas) y el tono fue formal y protocolario.",0.5,,143.74,0.6113
humano_09,2a92a64c-6ea8-48a0-b47a-445a3c577199.wav,humano,626.2,1763,993,770,0,314.68,224.1,0.0,0.5025,2,False,"Agente, Cliente",99,0.9345,True,True,7,7,5,empatico_profesional,2,"Se confirmó que la interlocutora es la titular, el cliente aceptó pagar en dos cuotas (20 y 20 de agosto/septiembre). Hubo 7 objeciones (confusión, falta de empleo, recursos, límite de pago, preocupación por monto total, legalidad y fecha), todas atendidas con descuentos, unificación de deudas, plan de cuotas y reprogramación de fechas. El agente mostró tono empático y profesional y realizó 2 peticiones de aclaración por parte del cliente.",0.3333,1.0,626.2,0.5025
humano_10,2b377b6a-4fa1-4910-8d68-9ee05f7c302a.wav,humano,202.66,366,327,39,0,119.42,14.72,0.0,0.5892,2,False,"Agente, Cliente",52,0.9192,True,True,0,0,1,empatico_profesional,0,"Se confirmó al cliente (Perdomo) como titular, aceptó pagar en 3 cuotas sin objeciones, se ofreció una única alternativa de pago en cuotas, el agente mantuvo tono empático y profesional y no hubo peticiones de aclaración por parte del cliente.",1.0,,202.66,0.5892
humano_11,2d454b7b-9f12-4acb-8101-d3ba74bb84ff.wav,humano,578.9,1457,994,463,0,314.6,137.88,0.0,0.5434,2,False,"Agente, Cliente",140,0.9063,True,True,6,6,4,empatico_profesional,1,"El cliente confirmó ser el titular, aceptó pagar el viernes 31 de julio y el agente ofreció varias opciones de cuotas y pagos parciales, resolviendo todas las objeciones del cliente.",0.5,1.0,578.9,0.5434
