call_id,original_audio_file,source,duration_seconds,total_words,agent_words,customer_words,other_words,agent_talk_time_seconds,customer_talk_time_seconds,other_talk_time_seconds,talk_ratio_agent,num_speakers,has_other_speaker,roles_detected,num_utterances,mean_confidence
humano_01,0445c357-e465-49ae-8067-bfa91d11b532.wav,humano,309.52,703,612,91,0,207.39,34.08,0.0,0.67,2,False,"Agente, Cliente",70,0.9383
humano_02,09115a4a-ac50-4425-9dbc-b551a0b5342c.wav,humano,87.2,231,188,43,0,54.64,13.12,0.0,0.6266,2,False,"Agente, Cliente",23,0.9526
humano_03,0bc9a430-bdcd-44a7-a92d-e71dc33c8ad5.wav,humano,105.64,176,88,88,0,30.56,24.13,0.0,0.2893,2,False,"Agente, Cliente",21,0.9068
humano_04,0c6ada7d-d8c5-4840-ae79-0d8d573183dc.wav,humano,141.48,58,0,0,58,0.0,0.0,24.14,0.0,1,True,Otro,7,0.9982
humano_05,0d2d37dd-38a4-40dd-ac62-b430f722ed57.wav,humano,594.72,1252,879,373,0,277.12,117.34,0.0,0.466,2,False,"Agente, Cliente",119,0.948
humano_06,1c72dd55-acbb-4ebe-a4d7-446cc294a4a1.wav,humano,224.62,402,251,151,0,92.94,59.13,0.0,0.4137,2,False,"Agente, Cliente",55,0.9338
humano_07,1e3beb83-824b-4ad5-8483-f4ff6ea3c05e.wav,humano,160.76,308,217,84,7,66.62,25.15,3.04,0.4144,3,True,"Agente, Cliente, Otro",43,0.9172
humano_08,1f5cda00-bbf3-4770-97dc-99760ddadc1b.wav,humano,143.74,326,309,10,7,87.86,3.84,3.28,0.6113,3,True,"Agente, Cliente, Otro",28,0.8994
humano_09,2a92a64c-6ea8-48a0-b47a-445a3c577199.wav,humano,626.2,1763,993,770,0,314.68,224.1,0.0,0.5025,2,False,"Agente, Cliente",99,0.9345
humano_10,2b377b6a-4fa1-4910-8d68-9ee05f7c302a.wav,humano,202.66,366,327,39,0,119.42,14.72,0.0,0.5892,2,False,"Agente, Cliente",52,0.9192
humano_11,2d454b7b-9f12-4acb-8101-d3ba74bb84ff.wav,humano,578.9,1457,994,463,0,314.6,137.88,0.0,0.5434,2,False,"Agente, Cliente",140,0.9063
humano_12,2e50e9db-53c9-4472-ad05-1ba1032dd707.wav,humano,123.4,240,111,129,0,37.28,43.92,0.0,0.3021,2,False,"Agente, Cliente",27,0.92
humano_13,306c762c-73a1-4690-962d-53f1a14f05b6.wav,humano,132.6,330,190,140,0,61.37,47.73,0.0,0.4629,2,False,"Agente, Cliente",25,0.9323
humano_14,336a8602-1b56-4ca6-9dcc-7491b9a92a8a.wav,humano,76.0,193,87,106,0,25.94,31.52,0.0,0.3414,2,False,"Agente, Cliente",14,0.9484
humano_15,380f5075-47be-435f-b595-7e2c48dbb21b.wav,humano,74.56,185,140,45,0,39.54,16.56,0.0,0.5303,2,False,"Agente, Cliente",14,0.9512
humano_16,38482ca0-4501-4b4c-99b5-16313e8eb12f.wav,humano,299.5,816,590,226,0,176.9,70.65,0.0,0.5906,2,False,"Agente, Cliente",70,0.9344
humano_17,440cb585-d675-4ed9-afa4-934e2a0aae90.wav,humano,201.9,489,275,214,0,72.32,71.72,0.0,0.3582,2,False,"Agente, Cliente",46,0.9178
humano_18,50e0f632-d195-4476-b049-3720482d65d9.wav,humano,116.42,210,110,100,0,25.04,35.48,0.0,0.2151,2,False,"Agente, Cliente",17,0.8782
humano_19,635a7986-ddd2-47f3-a6de-82a217053afa.wav,humano,166.74,327,247,75,5,80.96,26.88,2.72,0.4855,3,True,"Agente, Cliente, Otro",40,0.943
humano_20,63b9a147-5c33-40ba-87c7-124e4be56cda.wav,humano,243.4,315,315,0,0,112.83,0.0,0.0,0.4635,1,False,Agente,44,0.9049
humano_21,66c2db61-5a3d-4020-a90a-007a029d0879.wav,humano,137.76,288,209,79,0,70.8,20.1,0.0,0.5139,2,False,"Agente, Cliente",38,0.9481
humano_22,67197ac4-63d9-4567-9e89-896e715ab906.wav,humano,395.24,1066,600,466,0,179.38,130.28,0.0,0.4538,2,False,"Agente, Cliente",83,0.8882
humano_23,6854b6cc-c858-4dd4-b326-b7d6fe55843a.wav,humano,160.78,266,202,64,0,76.72,23.52,0.0,0.4772,2,False,"Agente, Cliente",52,0.9265
